cve_ent,nom_ent,cve_mun,nom_mun,mun_ori,cve_geo,id_region,region,nom_local,nombre,tipo
31,Yucatán,050,Merida,Mérida,31050,2,II Noroeste ,Xcanatún,Compañía Nacional Almacenadora S.A. de C.V.,Almacen
31,Yucatán,101,Uman,Umán,31101,2,II Noroeste ,Hunxectaman,"Buenaventura Grupo Pecuario, S.A. de C.v.",Almacen
31,Yucatán,041,Kanasin,Kanasín,31041,2,II Noroeste ,Kanasín,Molinos de Oriente S.A. de C.V.,Almacen
31,Yucatán,041,Kanasin,Kanasín,31041,2,II Noroeste ,Kanasín,Mulchechen,Almacen
31,Yucatán,050,Merida,Mérida,31050,2,II Noroeste ,Mérida,San Gerardo ,Almacen
31,Yucatán,050,Merida,Mérida,31050,2,II Noroeste ,Mérida,Lorgam S.A. de C.V.,Almacen
31,Yucatán,050,Merida,Mérida,31050,2,II Noroeste ,Mérida,Proveedora de Alimentos Agropecuarios (PROVI),Almacen
31,Yucatán,050,Merida,Mérida,31050,2,II Noroeste ,Mérida,Transportes Loltún S.A. de C.V,Almacen
31,Yucatán,050,Merida,Mérida,31050,2,II Noroeste ,Mérida,Campi Alimentos Mérida 2,Almacen
31,Yucatán,050,Merida,Mérida,31050,2,II Noroeste ,Mérida,Lorgam S.A. de C.V.,Almacen
31,Yucatán,050,Merida,Mérida,31050,2,II Noroeste ,Mérida,"Proteínas y Oleicos, S.A. de C.V",Almacen
31,Yucatán,050,Merida,Mérida,31050,2,II Noroeste ,Mérida,Bachoco S.A. de C.V.,Almacen
31,Yucatán,050,Merida,Mérida,31050,2,II Noroeste ,Mérida,Almacén de Granos de la Peninsula S.A. de C.V.,Almacen
31,Yucatán,050,Merida,Mérida,31050,2,II Noroeste ,Mérida,Central de abastos Mérida,Central de abastos 
31,Yucatán,053,Muna,Muna,31053,7,VII Sur ,Muna, Forrajes y Granos Agropecuarios de Yucatán S.A. de C.v. (FOGYSA),Almacen
31,Yucatán,053,Muna,Muna,31053,7,VII Sur ,Muna,Forrajes y Granos Agropecuarios de Yucatán S.A. de C.v. (FOGYSA),Almacen
31,Yucatán,056,Oxkutzcab,Oxkutzcab,31056,7,VII Sur ,Oxkutzcab,Centro Mayorista Oxcutzkab,Central de abastos 
31,Yucatán,059,Progreso,Progreso,31059,2,II Noroeste ,Progreso,Naviera Multisur ,Almacen
31,Yucatán,096,Tizimin,Tizimín,31096,5,V Noreste ,Tizimín,Jorge Gutierrez Loeza,Almacen
31,Yucatán,096,Tizimin,Tizimín,31096,5,V Noreste ,Tizimín,Unión Ganadera Regional del Oriente de Yucatán,Almacen
31,Yucatán,096,Tizimin,Tizimín,31096,5,V Noreste ,Tizimín,Agroindustrias del Oriente de Yucatán,Almacen
31,Yucatán,101,Uman,Umán,31101,2,II Noroeste ,Umán,Lorgam S.A. de C.V.,Almacen
31,Yucatán,101,Uman,Umán,31101,2,II Noroeste ,Umán,Keken,Almacen
31,Yucatán,101,Uman,Umán,31101,2,II Noroeste ,Umán,Enlace Comercial y Logístico Barb s S.A. de C.V.,Almacen
31,Yucatán,101,Uman,Umán,31101,2,II Noroeste ,Umán,Disuresa,Almacen
